created_at,id,expanded_url
Wed Oct 21 13:24:19 +0000 2020,1318905958878351361,https://twitter.com/i/web/status/1318905958878351361
Thu Oct 22 09:02:10 +0000 2020,1319202375727448069,https://twitter.com/i/web/status/1319202375727448069
Thu Oct 22 19:04:02 +0000 2020,1319353839062056964,https://twitter.com/i/web/status/1319353839062056964
Sun Oct 25 11:30:23 +0000 2020,1320326838393229314,https://twitter.com/i/web/status/1320326838393229314
Mon Oct 26 09:05:58 +0000 2020,1320652883747098627,https://twitter.com/i/web/status/1320652883747098627
Tue Oct 27 09:33:40 +0000 2020,1321022243347009538,https://twitter.com/i/web/status/1321022243347009538
Fri Oct 30 09:27:08 +0000 2020,1322107761371611136,https://twitter.com/i/web/status/1322107761371611136
Sun Nov 01 09:22:17 +0000 2020,1322831315855659008,https://twitter.com/i/web/status/1322831315855659008
Mon Nov 02 09:22:34 +0000 2020,1323193776333049860,https://twitter.com/i/web/status/1323193776333049860
Tue Nov 03 09:17:19 +0000 2020,1323554841201958912,https://twitter.com/i/web/status/1323554841201958912
Wed Nov 04 09:16:04 +0000 2020,1323916916583550976,https://twitter.com/i/web/status/1323916916583550976
Thu Nov 05 09:13:16 +0000 2020,1324278599537643520,https://twitter.com/i/web/status/1324278599537643520
Mon Nov 09 09:54:46 +0000 2020,1325738595404181505,https://twitter.com/i/web/status/1325738595404181505
Wed Nov 11 09:08:51 +0000 2020,1326451815966257153,https://twitter.com/i/web/status/1326451815966257153
Wed Nov 18 09:27:54 +0000 2020,1328993324632600577,https://twitter.com/i/web/status/1328993324632600577
Wed Nov 18 09:27:55 +0000 2020,1328993326859755523,https://twitter.com/i/web/status/1328993326859755523
Thu Nov 19 09:20:44 +0000 2020,1329353906112049158,https://twitter.com/i/web/status/1329353906112049158
Sun Nov 22 09:55:36 +0000 2020,1330449844549398528,https://twitter.com/i/web/status/1330449844549398528
Sun Nov 22 10:04:41 +0000 2020,1330452129857892353,https://twitter.com/i/web/status/1330452129857892353
Mon Nov 23 09:15:54 +0000 2020,1330802242170064897,https://twitter.com/i/web/status/1330802242170064897
Wed Nov 25 09:17:06 +0000 2020,1331527319664676867,https://twitter.com/brianoflondon/status/1331527319664676867
Wed Nov 25 09:17:06 +0000 2020,1331527321791172609,https://twitter.com/i/web/status/1331527321791172609
Fri Nov 27 10:57:33 +0000 2020,1332277376546435072,https://twitter.com/i/web/status/1332277376546435072
Sun Nov 29 09:59:08 +0000 2020,1332987449388060677,https://twitter.com/brianoflondon/status/1332987449388060677
Sun Nov 29 09:59:08 +0000 2020,1332987451707695106,https://twitter.com/i/web/status/1332987451707695106
Mon Nov 30 09:22:54 +0000 2020,1333340719721963521,https://twitter.com/i/web/status/1333340719721963521
Tue Dec 01 09:12:12 +0000 2020,1333700413195948032,https://twitter.com/i/web/status/1333700413195948032
Wed Dec 02 09:12:54 +0000 2020,1334062977197236225,https://twitter.com/i/web/status/1334062977197236225
Thu Dec 03 09:25:08 +0000 2020,1334428445342916609,https://twitter.com/i/web/status/1334428445342916609
Sun Dec 06 09:13:15 +0000 2020,1335512619831209987,https://twitter.com/i/web/status/1335512619831209987
Tue Dec 08 09:22:21 +0000 2020,1336239684134039553,https://twitter.com/brianoflondon/status/1336239684134039553
Tue Dec 08 09:22:21 +0000 2020,1336239686172479490,https://twitter.com/i/web/status/1336239686172479490
